model,config,horizon,rmse,mae,mape,da
qwen2.5-7b,baseline_llm,1,0.0949752760926001,0.0772686710739144,0.2453888015836195,50.0
mistral-7b,news_only,1,0.125950835773525,0.1031060294532792,0.3279747546790202,83.33333333333333
mistral-7b,baseline_llm,1,0.1360941157377617,0.1187442191123981,0.3773959143547892,66.66666666666667
mistral-7b,prompt_only,1,0.1396853147191038,0.1031067781257647,0.3281378864032767,83.33333333333333
qwen2.5-7b,full_model,1,0.1621043004858623,0.12953066904068,0.4122858172694062,66.66666666666667
qwen2.5-7b,news_only,1,0.1858605031706333,0.1514527116394035,0.4808283701511359,66.66666666666667
mistral-7b,full_model,1,0.2062138855911004,0.1628930631637562,0.5180428970746531,66.66666666666667
qwen2.5-7b,prompt_only,1,0.2140099635792774,0.1754409764480612,0.5572079023609957,66.66666666666667
llama3-8b,full_model,1,0.2193481723573117,0.1716709096336355,0.5449309900091409,83.33333333333333
llama3-8b,baseline_llm,1,0.2857538275185148,0.2378553237342814,0.7532265696698863,66.66666666666667
llama3-8b,prompt_only,1,0.2948025071582311,0.2442743025970472,0.7748922014925852,83.33333333333333
llama3-8b,news_only,1,0.3749595983213527,0.2864283588409396,0.908443182069188,50.0
itransformer,baseline,1,0.5389970220753286,0.4466719245910645,1.3838340384440375,45.83333333333333
arima,baseline,1,0.8231587096918535,0.7786232977618274,2.41221293786002,44.44444444444444
xgboost,baseline,1,0.8277838908403762,0.7824570083618169,2.424124126832268,43.05555555555556
lstm,baseline,1,1.8437549064735896,1.813768624899273,5.626782065649273,40.27777777777778
qwen2.5-7b,news_only,10,0.2337330467440092,0.1878241299762741,0.5959800730068846,46.13095238095238
llama3-8b,prompt_only,10,0.2469709136539713,0.1898295180473344,0.6018974997834984,56.07142857142857
llama3-8b,full_model,10,0.2525019026171937,0.1869694656085975,0.5930164046561016,58.57142857142857
qwen2.5-7b,prompt_only,10,0.266325298850904,0.2259914492359164,0.715648265647273,44.52380952380952
mistral-7b,full_model,10,0.2790977541972786,0.2292246816749564,0.7263726706176263,66.78571428571429
mistral-7b,news_only,10,0.279457965208793,0.2184199165935519,0.6928779741022518,55.595238095238095
mistral-7b,prompt_only,10,0.2926739630840858,0.2338786605243679,0.7417039415291801,54.82142857142857
llama3-8b,baseline_llm,10,0.3233570463187061,0.2641405954494483,0.8373982918508944,56.96428571428571
qwen2.5-7b,full_model,10,0.3471857114743583,0.3035395117244731,0.9613429866568044,47.02380952380952
qwen2.5-7b,baseline_llm,10,0.3547216741300671,0.2984867926597606,0.945327199546453,43.27380952380952
itransformer,baseline,10,0.359766961827749,0.3004972076416019,0.93116803575067,47.22222222222222
mistral-7b,baseline_llm,10,0.3667061232850468,0.2962905016613005,0.9389522603870808,58.86904761904761
llama3-8b,news_only,10,0.3670576953025572,0.2917013918590554,0.9247497398799608,63.15476190476191
arima,baseline,10,0.8231587096918535,0.7786232977618274,2.41221293786002,44.44444444444444
xgboost,baseline,10,0.8277838908403762,0.7824570083618169,2.424124126832268,43.05555555555556
lstm,baseline,10,1.5952234693091114,1.5616189443186164,4.843485430607331,40.27777777777778
mistral-7b,news_only,5,0.2168102672718103,0.1810408536987306,0.5744287859276884,71.66666666666666
mistral-7b,full_model,5,0.2412630354713443,0.1923828458633426,0.6102762630643891,66.83333333333333
qwen2.5-7b,baseline_llm,5,0.248472735271247,0.2071245406265265,0.6574408212601051,64.66666666666666
llama3-8b,prompt_only,5,0.2553390042646972,0.1968583214302052,0.6246070745881458,51.5
mistral-7b,prompt_only,5,0.2589038758308805,0.2065505241508485,0.6556039723310082,53.5
mistral-7b,baseline_llm,5,0.282433134085881,0.2284044846458431,0.7241894726499164,61.83333333333333
qwen2.5-7b,news_only,5,0.2825501013093487,0.2199965274009702,0.6984419987691819,49.33333333333333
llama3-8b,full_model,5,0.2869573291510513,0.2140956793861389,0.6798007455978926,55.49999999999999
llama3-8b,baseline_llm,5,0.3087004193269668,0.259946176727294,0.8236528071699842,47.33333333333333
llama3-8b,news_only,5,0.3390513390655781,0.2636785856437672,0.8369796772724277,44.33333333333333
qwen2.5-7b,prompt_only,5,0.3655384512533537,0.2903040265502934,0.9190338638671024,60.16666666666666
qwen2.5-7b,full_model,5,0.3924724876145884,0.2913895031585703,0.922402598647559,56.83333333333333
arima,baseline,5,0.8231587096918535,0.7786232977618274,2.41221293786002,44.44444444444444
xgboost,baseline,5,0.8277838908403762,0.7824570083618169,2.424124126832268,43.05555555555556
itransformer,baseline,5,1.1575609998864838,1.098685684204102,3.404423904569534,40.27777777777778
lstm,baseline,5,1.7597038205346682,1.7126422987969905,5.31076535283769,40.27777777777778
