currency,horizon,model,rmse,mae,mape,da
USDIDR,1,arima,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
USDIDR,1,lstm,1557.6058492807042,1537.1795697729383,9.557260920722243,42.25352112676056
USDIDR,1,xgboost,477.293879419258,434.71625,2.6925579268733673,45.07042253521127
USDIDR,1,itransformer,702.2928304408194,667.485517578125,4.141173493338931,42.25352112676056
USDIDR,5,arima,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
USDIDR,5,lstm,1505.8719144794459,1410.0506749437832,8.745067548470672,42.25352112676056
USDIDR,5,xgboost,477.293879419258,434.71625,2.6925579268733673,45.07042253521127
USDIDR,5,itransformer,849.9858686198255,803.434443359375,4.98388742488046,42.25352112676056
USDIDR,10,arima,561.8646714267386,521.82699721924,3.234335268372541,43.66197183098591
USDIDR,10,lstm,1519.3791766544612,1475.5094463823875,9.164663608473031,42.25352112676056
USDIDR,10,xgboost,477.293879419258,434.71625,2.6925579268733673,45.07042253521127
USDIDR,10,itransformer,813.6170056889124,752.172998046875,4.661686382392225,43.66197183098591
USDEUR,1,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,44.44444444444444
USDEUR,1,lstm,0.02393860901439053,0.022876434878243222,2.4636756780102287,41.66666666666667
USDEUR,1,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,44.44444444444444
USDEUR,1,itransformer,0.06410313843018327,0.054090237021446226,5.832788547301384,43.05555555555556
USDEUR,5,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,44.44444444444444
USDEUR,5,lstm,0.03238160292831689,0.031043772396783405,3.3441510464595945,41.66666666666667
USDEUR,5,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,44.44444444444444
USDEUR,5,itransformer,0.012448527183811958,0.010704458951950073,1.1505325579863988,44.44444444444444
USDEUR,10,arima,0.01350641168239775,0.011814123067257988,1.2700774975940992,44.44444444444444
USDEUR,10,lstm,0.021596276945047444,0.020094156591322642,2.162979013321504,43.05555555555556
USDEUR,10,xgboost,0.013565966208125866,0.011857345104217529,1.2747090223016702,44.44444444444444
USDEUR,10,itransformer,0.017092778204732584,0.015427671074867248,1.6599455693649674,43.05555555555556
USDSGD,1,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,45.83333333333333
USDSGD,1,lstm,0.021092466211892036,0.020219785482455146,1.4994470756063785,54.166666666666664
USDSGD,1,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,47.22222222222222
USDSGD,1,itransformer,0.04437123117512024,0.043208459615707386,3.1958685578391344,45.83333333333333
USDSGD,5,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,45.83333333333333
USDSGD,5,lstm,0.02007958372836873,0.019264502793661445,1.4285436785757033,54.166666666666664
USDSGD,5,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,47.22222222222222
USDSGD,5,itransformer,0.018862986861299228,0.01781423568725585,1.3168194412481553,45.83333333333333
USDSGD,10,arima,0.02146373317168441,0.020345263481140127,1.5039538845951457,45.83333333333333
USDSGD,10,lstm,0.019714814146082334,0.01878426575781668,1.3931395162335938,54.166666666666664
USDSGD,10,xgboost,0.016598715393890472,0.015357484817504874,1.1351232351810132,47.22222222222222
USDSGD,10,itransformer,0.024958366278077893,0.023977285623550407,1.7729164088206568,45.83333333333333
USDTWD,1,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,44.44444444444444
USDTWD,1,lstm,1.7045844552856573,1.5658445635461526,4.850221485044416,41.66666666666667
USDTWD,1,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,43.05555555555556
USDTWD,1,itransformer,0.23819193666933944,0.2058094406127925,0.6397810521187881,62.5
USDTWD,5,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,44.44444444444444
USDTWD,5,lstm,1.7671943407811455,1.7356778636893586,5.384126859336223,40.27777777777778
USDTWD,5,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,43.05555555555556
USDTWD,5,itransformer,1.4582591782452416,1.3840906715393073,4.289109025638454,40.27777777777778
USDTWD,10,arima,0.8231587096918535,0.7786232977618274,2.4122129378600197,44.44444444444444
USDTWD,10,lstm,1.787897343657942,1.7583016158091669,5.454625198580391,40.27777777777778
USDTWD,10,xgboost,0.8277838908403762,0.7824570083618169,2.4241241268322677,43.05555555555556
USDTWD,10,itransformer,1.1547138434967428,1.0911957168579105,3.380875189518139,40.27777777777778
USDAUD,1,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886
USDAUD,1,lstm,0.10364065718379013,0.10226965533498905,6.718515166049293,55.55555555555556
USDAUD,1,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556
USDAUD,1,itransformer,0.0717782644987197,0.0695967125892639,4.569659729887758,55.55555555555556
USDAUD,5,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886
USDAUD,5,lstm,0.09555093621246788,0.09391106366446195,6.16871941938424,55.55555555555556
USDAUD,5,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556
USDAUD,5,itransformer,0.03011358908733767,0.023837282657623284,1.5562183167827128,58.333333333333336
USDAUD,10,arima,0.018193913226852963,0.013814804866294845,0.902679044733618,63.888888888888886
USDAUD,10,lstm,0.10799838328136523,0.10660543982141796,7.003882599435779,55.55555555555556
USDAUD,10,xgboost,0.03330876439219796,0.028911821842193604,1.8914178495684812,55.55555555555556
USDAUD,10,itransformer,0.055930002396879515,0.05079029083251954,3.3521594093966747,45.83333333333333
